Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.8845190780622915,0.6190643274714372,0.8540718862745498,0.6335672513643897
2,0.8063875791761606,0.6621637427040008,0.7968962665468636,0.6603508772417813
3,0.7904174793254558,0.6672514620022463,0.8011344067116236,0.6598830408380743
4,0.7808373088725126,0.6734795321497999,0.7986347988195589,0.6617543860485676
5,0.7771352793598734,0.6746783625870418,0.7789186148755033,0.6768421051376744
6,0.7723643939955191,0.6787719298106185,0.7690429839195564,0.68479532176291
7,0.7660185452650852,0.6803801169451211,0.771306865605694,0.6762573099833483
8,0.7646445041232639,0.6804678362433663,0.8368931999401739,0.6105263157615884
9,0.763142604437487,0.6808771929824556,0.7717220393398353,0.6795321637914888
10,0.7579724871066575,0.6820760234057548,0.8071330913744478,0.6588304094822085
11,0.7556336070640745,0.6842105263018466,0.7522834782990797,0.6936842104287179
12,0.7551157609342826,0.6826023391812863,0.7466255701076219,0.6898245612919679
13,0.7518935365983622,0.6851169590782702,0.7687564774145157,0.6814035087440445
14,0.7492824604497323,0.6855555555694983,0.7847057466060795,0.6679532163463837
15,0.7460342123912796,0.6856725146198828,0.7514721116545606,0.6946198831664193
16,0.7477895478058976,0.6886257309941511,0.7834357108986167,0.6670175439293622
17,0.7445648841969443,0.6873391812726068,0.7519324012527686,0.6891228070872568
18,0.7427905043523915,0.687953216388211,0.8851953553874592,0.6049122807854099
19,0.7409134258443147,0.6892397660679283,0.804106765853035,0.6580116957809491
20,0.7398939292612126,0.6898830409496141,0.7652598958963537,0.6761403509329632
21,0.7377908188976041,0.6902631579086791,0.7350592809671549,0.6974269005569097
22,0.7360258385173064,0.6910233918268074,0.7447620133768048,0.6934502924394887
23,0.7339623190227313,0.695263157901708,0.74336400168681,0.6902923976329337
24,0.7336879949402391,0.6922514619883037,0.7287984599983485,0.6984795320382594
25,0.7323176556999922,0.6944444444583876,0.7319683984427428,0.6996491227651898
26,0.7317704041659484,0.6916666666806089,0.748873073483071,0.6846783624476159
27,0.7297676667553634,0.6944736841965834,0.7412508682479634,0.6932163741435224
28,0.7255179978253554,0.6960526315650045,0.7620617433737592,0.6764912280283477
29,0.7273679244727417,0.6967543859509696,0.7546776419494582,0.6797660818434601
30,0.7237645719344156,0.6988304093567247,0.7269127926910136,0.7011695905317344
31,0.7263795612290592,0.6954678362573091,0.7356582119102366,0.6980116958506621
32,0.7240584844664525,0.6958771929824559,0.722857684252555,0.7002339181007696
33,0.7224969677618369,0.6978362573099415,0.7194369912565799,0.701520467822315
34,0.7210121351863913,0.6990058479532161,0.7367316620949413,0.6909941519910133
35,0.7197608987908612,0.7003508771790397,0.7505257207747789,0.6893567252019694
36,0.7198447429506397,0.6980116958924897,0.7268463267917522,0.6991812866194205
37,0.7178756074877507,0.7018713450152968,0.7407238812892762,0.6887719298803319
38,0.7164387620819936,0.6998830409496136,0.7248436905347808,0.7007017542744244
39,0.7165145964929229,0.7004385964772847,0.7254245954507974,0.6971929823445994
40,0.7156440390480883,0.7010526315928904,0.7279938340047644,0.6968421051376751
41,0.71575058831109,0.702485380116959,0.7716031193036086,0.6676023391394588
42,0.7140413942811092,0.7030994152046781,0.7303809369656079,0.6975438595515248
43,0.7136076230194128,0.7019298245474603,0.7228940373833418,0.699766081927116
44,0.711773393753676,0.7016081871345028,0.7263860089458218,0.6980116960319165
45,0.7082879509145064,0.7074269005847953,0.7303046999619026,0.6952046784183437
46,0.7090798138596166,0.7033625730854725,0.7269632090880854,0.7026900584377046
47,0.7082598286902003,0.7050584795461066,0.7187389479324829,0.700701754344137
