Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Train Class 2,Validation Class 0,Validation Class 1,Validation Class 2
1,36.87149345197177,0.20035087718949654,29.796531109726235,0.22070175435807973,0.9704838938555413,0.0011166466242913588,0.03881116626909935,0.9772856331629756,0.0,0.042239185750636135
2,119.90177826820057,0.19552631578947358,64.96239243356806,0.21555555552767044,0.42457783453952036,0.054715684590276585,0.23454322738701566,0.4202157864849517,0.050017488632388946,0.24427480916030533
3,228.32435553299754,0.18353801169939218,96.38933446694541,0.1628070175508309,0.5222080317865758,0.07155127984882323,0.0620849719553865,0.5201590005678591,0.07065407485134663,0.06972010178117048
4,357.4868619720279,0.17011695906607058,154.54075406258568,0.17029239760504822,0.6412657868596566,0.09087785603848136,0.013990071562117207,0.6439522998296422,0.08744316194473592,0.0183206106870229
5,495.82349074692775,0.1735087719263388,223.06104180943905,0.19602339180589415,0.6493543351780899,0.023363683215942278,0.09947778995551544,0.6598523566155593,0.02553340328786289,0.11221374045801527
6,650.4453778183248,0.16725146198917562,257.0462913361488,0.16339181288989654,0.5205051795090109,0.05935406287579454,0.07581716201405454,0.5207268597387847,0.05491430570129416,0.0821882951653944
7,808.9594090940247,0.16631578947455564,398.6025724712171,0.17228070172650065,0.6866751809280545,0.03272633568115444,0.039584810779446845,0.6990346394094265,0.026232948583420776,0.04249363867684478
8,984.4942683633731,0.16020467836605892,474.1940186474895,0.17087719292668574,0.36015325670498083,0.07541659508675486,0.14692798659016182,0.35718341851220897,0.07590066456803078,0.15648854961832062
9,1157.623760536594,0.15076023391987145,596.5263206151773,0.15181286550404724,0.2725982687668511,0.10728397182614671,0.12120430662110761,0.28506530380465644,0.09898565932144106,0.13053435114503817
10,1326.6140003940502,0.16561403509120506,558.7106485859831,0.18023391811819803,0.5382432240669789,0.10170073870468992,0.0798143253175166,0.5332197614991482,0.09653725078698845,0.08295165394402036
11,1509.193919042397,0.16555555555555576,712.6769310524031,0.17368421051585875,0.4946785866326096,0.06897440302353547,0.0879375926761653,0.5025553662691652,0.07974816369359916,0.09465648854961832
12,1701.1861437488565,0.16201754386052056,846.4999742867097,0.16619883039541397,0.46317581949765857,0.018295825459543034,0.1316485075107988,0.4741624077228847,0.01608954179783141,0.13740458015267176
13,1913.263126142177,0.15500000000174285,849.7064269805369,0.16011695906781312,0.4166311905775507,0.09517265074729428,0.08787312230030302,0.41056218057921634,0.09793634137810424,0.09312977099236641
14,2093.1648629671504,0.1621052631613805,1033.816916403966,0.16912280698965862,0.3387256988789556,0.05308366260092767,0.1698794403971375,0.3418512208972175,0.05491430570129416,0.17480916030534352
15,2293.5408801626454,0.16222222222570803,1127.5255704324293,0.1514619883110648,0.35405136937703985,0.08417797629273321,0.09999355296241377,0.370244179443498,0.07939839104582022,0.10585241730279898
16,2506.9552219252546,0.15918128655667924,1135.2684322745347,0.15461988306184957,0.444160635731517,0.052997766706751416,0.08929147056927342,0.45258375922771155,0.04861839804127317,0.09821882951653944
17,2715.929630391085,0.15611111111111137,1296.8416344286825,0.1465497075918821,0.3404285511565205,0.05858099982820821,0.11495068016246535,0.34469051675184553,0.053515215110178385,0.12544529262086515
18,2922.473241330867,0.1521637426935442,1333.3281839649585,0.1543859649157663,0.29587058322690507,0.05445799690774781,0.149184449745342,0.3038046564452016,0.05771248688352571,0.15776081424936386
19,3123.534982010687,0.15678362573448,1556.1141666095584,0.16584795323728804,0.4326663828579537,0.08117161999656416,0.09954226033137774,0.43611584327086883,0.07904861839804127,0.1078880407124682
20,3363.0875072528333,0.15877192982630411,1653.3787794967564,0.15309941517679307,0.4163473818646232,0.042518467617247896,0.11269421700728516,0.4196479273140261,0.03637635536901014,0.11857506361323156
21,3585.7360179664665,0.15906432748538024,1676.4270705123815,0.16771929821772885,0.3868312757201646,0.048960659680467276,0.14293082328669976,0.38671209540034074,0.05211612451906261,0.15368956743002546
22,3818.1141562157304,0.15807017543511093,1846.147775693303,0.1643274854010307,0.2608202071803604,0.04878886789211476,0.1855457417316743,0.26348665530948323,0.047918852745715286,0.20458015267175572
23,4055.530126781795,0.15555555555207007,1910.6060024613935,0.17029239766779,0.45806726266496384,0.02697131077134513,0.1279736960866482,0.46280522430437254,0.027632039174536552,0.1430025445292621
24,4242.711248743601,0.16137426900759083,2011.2101441143552,0.18210526314743783,0.5234851709947496,0.03272633568115444,0.1256527625556057,0.524701873935264,0.03147953830010493,0.13816793893129772
25,4506.765181035272,0.15564327485380125,2302.4740892269747,0.1702923976329335,0.4962395345537108,0.031352001374334304,0.11836761008316679,0.48608745031232253,0.035676810073452254,0.1267175572519084
26,4770.527017543859,0.15280701754037426,2337.7118354235204,0.18198830406568203,0.4458634880090819,0.009190860676859647,0.1760685964799175,0.43611584327086883,0.011192724728926198,0.19236641221374046
27,4952.714968818536,0.16505847953216377,2419.085210446363,0.1615204678258003,0.3268057329360011,0.0645937124205463,0.14963574237637806,0.313458262350937,0.06540748513466246,0.1633587786259542
28,5213.828824926898,0.1625146198795554,2372.0485725054814,0.16549707602687744,0.25784021569462184,0.0645937124205463,0.16800979949713107,0.2714366837024418,0.06995452955578874,0.1875318066157761
29,5475.35927346035,0.1572514619900472,2425.6662033420134,0.16023391810076976,0.3117638711508443,0.06571035904483766,0.145638579072916,0.3145939806927882,0.06785589366911507,0.15826972010178117
30,5715.937195952123,0.1562280701719531,2735.475946580317,0.16584795320243165,0.3509294735348375,0.043119738876481704,0.14428470117980788,0.3639977285633163,0.0472193074501574,0.1633587786259542
31,5970.761992987022,0.1523684210526319,2859.926185638248,0.14432748535223167,0.37916844047112247,0.060041230029204605,0.0983173231899942,0.3730834752981261,0.057362714235746765,0.10508905852417302
