Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Train Class 2,Validation Class 0,Validation Class 1,Validation Class 2
1,53.55585429944489,0.21888888884706106,39.10257970263386,0.2133333333856181,0.10443083060264995,0.4928986995208761,0.06996708190795843,0.10620458356623812,0.492356914326342,0.06306990881458967
2,223.04227326331778,0.17815789470547125,157.39739240322893,0.23461988309322046,0.0014247043738424277,0.5113791923340179,0.1420641580068418,0.0022358859698155395,0.509776039815144,0.14387031408308004
3,493.4977802334612,0.16985380115216245,276.68075857062087,0.2073684213314837,0.08149309018378686,0.5354209445585215,0.022719938036532626,0.08552263834544438,0.5453252755065766,0.021783181357649443
4,861.9346058342472,0.1666666667363797,200.6898976179871,0.17239766050849045,0.34591822196894145,0.20508213552361396,0.07177434970631898,0.33817775293460034,0.20263064344116602,0.07573454913880445
5,1313.8454710058027,0.1699415204364653,479.5796932394462,0.18198830410053854,0.2980481550078359,0.3487337440109514,0.003872716710772607,0.3141419787590833,0.3480270174191255,0.003799392097264438
6,1861.5431723432935,0.16637426895704888,722.4303047902961,0.17087719325085135,0.049579712209716485,0.19490075290896647,0.21086942490156846,0.048630519843487985,0.1887664415215073,0.2135258358662614
7,2511.6256762838093,0.16152046789899902,1055.6019947002924,0.24046783636536515,0.018521156859951562,0.6816392881587954,0.01465177822242303,0.022358859698155393,0.6974760042659083,0.013677811550151976
8,3242.401103915388,0.1614619883772922,1463.9478166975055,0.19766081876573507,0.00014247043738424277,0.5301163586584531,0.04427806105983347,0.0,0.5389264130821187,0.044072948328267476
9,4031.7535630254033,0.15906432744355234,1743.112514248675,0.18666666635644366,0.17367146317139193,0.4296714579055442,0.017491770476989608,0.17663499161542762,0.4333451830785638,0.015450861195542046
10,4925.782118398208,0.1546491228662736,2007.9119508406434,0.31532163687616765,0.0027069383103006128,0.9579911019849419,0.0003227263925643839,0.0011179429849077697,0.9573409171702808,0.00025329280648429586
11,5890.319027663561,0.15169590639789202,3258.064140225238,0.18116959065024613,0.004986465308448497,0.41401437371663247,0.08920157490479572,0.006707657909446618,0.42587984358336295,0.0858662613981763
12,6922.596892018457,0.1494444444531585,2481.2182312796967,0.2233918126110445,0.028351617039464313,0.6253422313483915,0.01484541405796166,0.03018446059250978,0.641663704230359,0.012917933130699088
13,8024.729327028509,0.1454678363095947,3182.452498686495,0.2045614035610567,0.0017096452486109132,0.5705852156057495,0.027496288646485508,0.0011179429849077697,0.5840739424102381,0.02634245187436677
14,9187.173708653147,0.14473684209132054,3727.8828556172325,0.1801169590259853,0.0,0.13347022587268995,0.3005228167559543,0.0,0.12442232492001422,0.30141843971631205
15,10323.383214775222,0.14739766090236914,3644.7352514505674,0.15169590630377944,0.00028494087476848553,0.335643394934976,0.09391338023623572,0.0,0.3359402772840384,0.08915906788247213
16,11588.286452394006,0.14309941527787706,3781.367764242965,0.1507602337787026,0.10044165835589115,0.18711498973305954,0.14019234492996838,0.09726103968697597,0.19232136509065056,0.1453900709219858
17,12943.778037280701,0.13973684209480616,6262.6199328399125,0.14783625703457504,0.0,0.15648528405201917,0.2165494094107016,0.0,0.14859580519018842,0.21428571428571427
