Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Validation Class 0,Validation Class 1
1,0.5336988443031646,0.7770760232942149,0.554511770546785,0.7906432746725475,1.0,0.0,1.0,0.0
2,0.5120739182254724,0.7935087719855951,0.5568580654350637,0.7906432746446621,0.9999632109484218,0.00028498147620404675,1.0,0.0
3,0.5096082458091757,0.7938888888331187,0.5422487940146908,0.790643274672547,1.0,0.0,1.0,0.0
4,0.5056973931873054,0.7943567251322566,0.5307141616051659,0.790877193121882,0.999705687587374,0.001994870333428327,0.9998520710059171,0.0016759776536312849
5,0.5033601284584807,0.7946491228906737,0.515935597698591,0.7909941522280376,0.999705687587374,0.0021373610715303506,0.9998520710059171,0.0022346368715083797
6,0.501053083291528,0.794824561333796,0.5206697662392554,0.7916959062096667,0.9990802737105438,0.009261897976631519,0.9986686390532544,0.01005586592178771
7,0.5003550639626573,0.7949415203423531,0.5155225422856403,0.7926315790449667,0.9981237583695093,0.01809632373895697,0.9979289940828402,0.017318435754189943
8,0.4977240041194605,0.7959649124061854,0.536127149821722,0.7883040933581125,0.9761606945772938,0.08036477628954118,0.9754437869822485,0.08156424581005586
9,0.4972977388532537,0.7954678362573099,0.5092588211848723,0.7932163743805469,0.9913913619306894,0.04317469364491308,0.9912721893491124,0.045251396648044694
10,0.4962731622255337,0.795263158020221,0.5151921937061333,0.793099415399875,0.9959532043263924,0.025790823596466228,0.9955621301775148,0.028491620111731845
