Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Validation Class 0,Validation Class 1
62,0.36555464946735683,0.8373391811889519,0.46471548879355706,0.7923976605816893,0.8854367890105173,0.8181058853765099,0.8305157286539696,0.7464534433840598
63,0.361233060987372,0.8387426901003076,0.457402311110357,0.7971929822191162,0.8744365743721829,0.8553071189925469,0.8136101005777873,0.777405210214083
64,0.36015062916348534,0.8383625730018172,0.4566845160269598,0.7941520465744868,0.8774951706374758,0.8524158314058082,0.8116841429488552,0.7730203765798298
65,0.3532477227707357,0.8431286548871041,0.46183869250336596,0.7939181288501672,0.8646168705730843,0.8726548445129787,0.8007703830515729,0.7856590147020892
66,0.35353988040260387,0.8440058479811018,0.4615035453525899,0.7851461986073276,0.8680510839235888,0.8655230017990234,0.7943505242884656,0.7740521021408305
67,0.3511818574116243,0.8445614035645425,0.4779438044313798,0.7947368418961239,0.8970809186520713,0.8281932665124646,0.8322276909907982,0.7495486200670621
68,0.346440552026905,0.8488304092870123,0.5105732337842909,0.7839766079779955,0.9322816054947414,0.7626574145463891,0.872030815322063,0.6778436935775084
69,0.33919493778407217,0.8509356724309644,0.4732483662638747,0.7934502925231441,0.8906954282034771,0.8578129015677204,0.8155360582067195,0.7668300232138251
70,0.3370730556939777,0.8520760234196979,0.4853473399117677,0.7810526317183734,0.9321206267439365,0.7734515548702133,0.864968970682645,0.67990714469951
71,0.33485665932036296,0.8521637426761162,0.4743118061517415,0.789005848106585,0.8829147885812406,0.8834489848368029,0.7947785148726728,0.7820479752385865
72,0.3311132983227223,0.854941520579377,0.4715924037827386,0.7935672516292996,0.8939686628031767,0.8723335903366743,0.8097581853199229,0.7740521021408305
73,0.3236498132226063,0.8585672514480455,0.49125226565968916,0.7835087716788578,0.8779244473062889,0.8991904394757132,0.7765889150438691,0.7918493680680939
74,0.321324460367013,0.859590643191198,0.49689181872975763,0.7904093565020645,0.8733633827001502,0.8966846569005397,0.7808688208859406,0.8019086922878514
75,0.3217837193834852,0.85909356734906,0.48802327308738447,0.7857309939429077,0.8889246619446233,0.8885890516576715,0.7943505242884656,0.7753417590920815
76,0.3173861656063482,0.8606725146617107,0.48684368008061446,0.7916959065721746,0.9256278171281391,0.8738113595476741,0.8191739781724802,0.7585762187258189
77,0.30993845680303733,0.8641520466581425,0.505209466672083,0.7780116960179737,0.8818415969092079,0.8946928810074531,0.7742349668307297,0.7825638380190869
78,0.3067056333112438,0.8670760233499855,0.5065151936826651,0.7859649124340705,0.9144129641553982,0.8938576201490619,0.8048362936015407,0.7632189837503224
79,0.30281626152016267,0.8686257310220371,0.5103908456278127,0.7888888886936924,0.9183301137583172,0.8819069647905423,0.8091161994436122,0.7645086407015734
80,0.29550378600756333,0.872690058395876,0.5018066119590001,0.7872514621695579,0.9194569650139515,0.9017604728861475,0.7962764819173979,0.7763734846530823
81,0.29293810679898624,0.8724853802284999,0.5298647090705515,0.7823391814678035,0.8770122343850612,0.9317656129529683,0.7560453670019259,0.8140314676296105
82,0.2901950242749435,0.8746783626985826,0.5189132743063029,0.7851461989558929,0.932925520497961,0.8918658442559754,0.8144660817462016,0.7498065514573123
83,0.28290330604851593,0.8778362573935973,0.5256398722860548,0.7817543857836584,0.9329791800815626,0.9143536365972758,0.7937085384121549,0.7673458859943255
84,0.2812843454929822,0.8786257309244389,0.5150618036309181,0.786666666833978,0.9603992273019961,0.8807504497558468,0.8401455167986305,0.7222078927005416
85,0.2747592102017319,0.8819298244359195,0.5353715542603655,0.7847953217629103,0.9614187593904271,0.8701490619378052,0.8392895356302161,0.7191127160175393
86,0.27455228828547285,0.8805847952100964,0.5174804963703046,0.7873684208992632,0.9410281176218073,0.9248265227447957,0.7932805478279478,0.7802424555068351
87,0.2679799408382839,0.8830994150791949,0.5329699529890429,0.7801169592037536,0.9360377763468556,0.9240555127216654,0.7845067408517012,0.7748258963115812
88,0.2613950552856713,0.8878070175856873,0.5406533207600577,0.7825730995685733,0.9416183730414251,0.9162811616551015,0.799700406591055,0.7619293267990714
89,0.2607067264137212,0.8878654971596786,0.5469329995648903,0.7818713451547231,0.9659261644129642,0.8770881521459779,0.8405735073828375,0.7111168429197834
