Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Validation Class 0,Validation Class 1
1,24.395361311013446,0.43475859022858737,2.9632570146373025,0.5784357048253945,0.0,1.0,0.0,1.0
2,194.10370096817707,0.3271461716942843,11.103523346404648,0.42156429518777505,1.0,0.0,1.0,0.0
3,439.18952280416227,0.37362354069446574,72.41676663657077,0.42156429518558003,1.0,0.0,1.0,0.0
4,894.3036555792232,0.30155047324530604,115.88506021694896,0.42156429518558014,1.0,0.0,1.0,0.0
5,1407.694892539102,0.2915699922671455,373.9997759257277,0.421564295187775,1.0,0.0,1.0,0.0
6,2033.3503666128493,0.2706146650637806,457.7278619873838,0.4215642951921649,1.0,0.0,1.0,0.0
7,2706.5201112514465,0.26516407027396627,799.6206031852131,0.421564295187775,1.0,0.0,1.0,0.0
8,3476.307668017538,0.24759695062855766,609.1477237150199,0.4215642951877751,1.0,0.0,1.0,0.0
9,4296.148487671424,0.23669576107307558,798.1391932315681,0.42156429520094413,1.0,0.0,1.0,0.0
10,5011.718539066474,0.2438772879619119,893.7546282611058,0.42156429518777483,1.0,0.0,1.0,0.0
11,5883.172716409855,0.23452288881852457,1169.031864936616,0.42156429520094424,1.0,0.0,1.0,0.0
12,7038.9570274916405,0.20156152174823394,844.3641784281384,0.421564295187775,1.0,0.0,1.0,0.0
13,8056.064056271729,0.19920450780675555,1613.6122494510876,0.42156429518777505,1.0,0.0,1.0,0.0
14,9155.604293956418,0.1842153721580897,1172.9759254652238,0.4215642952009444,1.0,0.0,1.0,0.0
15,10138.81659923016,0.18520973741501107,1903.5396479304466,0.4215642951877749,1.0,0.0,1.0,0.0
16,11219.583129069099,0.18222664162449084,1406.9510821248211,0.4215642951921648,1.0,0.0,1.0,0.0
17,12285.113027695501,0.17655507679258298,880.0070452946484,0.42156429520094413,1.0,0.0,1.0,0.0
18,13363.441493600421,0.17537656981361197,1872.2260964427758,0.4215642951877751,1.0,0.0,1.0,0.0
19,14455.189351793106,0.17464000295175508,2295.435960213097,0.42156429518558,1.0,0.0,1.0,0.0
20,15613.626194583414,0.172062018935256,1541.849750271004,0.4215642951855802,1.0,0.0,1.0,0.0
21,16462.917685650093,0.18149007476482906,2387.671944908585,0.4215642951877749,1.0,0.0,1.0,0.0
22,17741.515056525375,0.17360880934076517,2342.3652991051704,0.42156429518558014,1.0,0.0,1.0,0.0
23,18921.183477888193,0.17040474349607806,2470.4152759749227,0.42156429518558,1.0,0.0,1.0,0.0
24,20119.46972742566,0.16804772953813604,3890.8063523959377,0.4215642952009443,1.0,0.0,1.0,0.0
25,21152.045137953795,0.17261444407945348,2047.7047734616667,0.42156429518557986,1.0,0.0,1.0,0.0
26,22399.63158279657,0.1686738113707144,2207.4111855316287,0.42156429518558014,1.0,0.0,1.0,0.0
27,23431.52647197203,0.17243030236179419,915.1482675383521,0.421564295187775,1.0,0.0,1.0,0.0
28,24669.305981329304,0.1713622804121016,1769.7222624028766,0.4215642952009444,1.0,0.0,1.0,0.0
29,25861.744008974438,0.17014694509003805,4152.552558992198,0.42156429520094413,1.0,0.0,1.0,0.0
30,27140.07921672303,0.16852649799834304,3949.3805744184046,0.4215642951855801,1.0,0.0,1.0,0.0
31,28402.18890979905,0.1671270209706931,3244.444693391884,0.4215642951877748,1.0,0.0,1.0,0.0
32,29498.459246453265,0.16981549001427548,3247.2402564551794,0.4215642951877748,1.0,0.0,1.0,0.0
33,30742.45092161129,0.16738481935807442,3289.018706030235,0.4215642951921648,1.0,0.0,1.0,0.0
34,32097.48069633763,0.16594851398184388,1493.119864595992,0.42156429520094413,1.0,0.0,1.0,0.0
35,33241.94300331973,0.16985231834529507,4724.87072838415,0.42156429520094446,1.0,0.0,1.0,0.0
36,34534.82612824924,0.1670533642724341,5529.03533648756,0.42156429518558003,1.0,0.0,1.0,0.0
37,35880.010586925804,0.1660589990089272,4416.353831688037,0.4215642952009443,1.0,0.0,1.0,0.0
38,37013.92000452298,0.16860015469660192,4308.041068847581,0.4215642952009443,1.0,0.0,1.0,0.0
39,38440.353311702456,0.1643648952266564,4183.3673136878715,0.42156429519216465,1.0,0.0,1.0,0.0
40,39761.16860713196,0.16458586528740865,5216.577197344743,0.42156429518558036,1.0,0.0,1.0,0.0
41,41076.191693647714,0.1642912385377267,4702.26604855108,0.42156429518777494,1.0,0.0,1.0,0.0
42,42303.05696549848,0.164733178657585,4135.760049718528,0.42156429518777494,1.0,0.0,1.0,0.0
43,43425.348328942695,0.16705336427462908,3305.6872583047366,0.4215642952009443,1.0,0.0,1.0,0.0
44,44807.30337811576,0.16675873752988637,8340.308599719565,0.42156429520094424,1.0,0.0,1.0,0.0
45,46173.07467917617,0.16388612676864436,5838.813636446021,0.4215642951877749,1.0,0.0,1.0,0.0
46,47404.95152472935,0.16543291719061742,1350.581589071015,0.42156429518777483,1.0,0.0,1.0,0.0
47,48596.657162005016,0.1664641107823997,6541.575898857528,0.42156429518777483,1.0,0.0,1.0,0.0
48,49981.15848484029,0.16421758185648005,5908.981964700192,0.42156429520094413,1.0,0.0,1.0,0.0
49,51455.666192393845,0.1635915000217067,8850.215568584063,0.42156429518777505,1.0,0.0,1.0,0.0
50,52694.430598066436,0.1634441866592136,10006.83825383318,0.4215642951855799,1.0,0.0,1.0,0.0
