Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Train Class 0,Train Class 1,Train Class 2,Validation Class 0,Validation Class 1,Validation Class 2
1,0.8734146871204264,0.6269298245753447,0.8013598078315018,0.6637426899469385,0.13124911984227575,0.8287884017949603,0.7904068080716911,0.12185120093731693,0.831101956745623,0.7750636132315522
2,0.8042022392206025,0.6625146198690987,1.3285379447435084,0.5390643275411502,0.0064779608505844246,0.2565585088022092,0.990264973244794,0.005858230814294083,0.2420185375901133,0.9908396946564886
3,0.7927772625566234,0.6697368421192049,0.799428795541239,0.6626900585353026,0.34980988593155893,0.7439592682084916,0.7661014763716072,0.3321616871704745,0.7394438722966015,0.7493638676844784
4,0.7810044987856993,0.671754385950969,0.7818303509483558,0.6718128654552478,0.06266722996761019,0.7301518812564722,0.9078073625169235,0.04745166959578207,0.7339512530037762,0.8969465648854962
5,0.7754657976250898,0.6751754386104334,0.7775486283274425,0.6784795322195131,0.07449654978172088,0.8618398343113566,0.8187737734510993,0.05741066198008202,0.8685204256779951,0.8073791348600509
6,0.7714116740087315,0.6794736842105263,0.9654762958504304,0.5152046782649747,0.46655400647796086,0.864946496375561,0.294823028818258,0.437609841827768,0.8712667353244078,0.28498727735368956
7,0.7712733872731522,0.6757894736702669,0.7799770092964173,0.6778947367863347,0.10773130544993663,0.8636520538488092,0.8129069692476307,0.09548916227299356,0.8623412289735668,0.794147582697201
8,0.7651338908546845,0.6807309941381043,0.7583406045701765,0.6832748536756865,0.09857766511758907,0.7814981014842941,0.8843401457030494,0.08553016988869361,0.7816683831101957,0.8699745547073792
9,0.7636937462516699,0.682280701754385,0.7612522928059451,0.6783625729739319,0.23165751302633433,0.8419054193993787,0.7827348333440785,0.21558289396602226,0.839340885684861,0.7600508905852418
10,0.758818832168803,0.6823976608326555,0.8038197983914646,0.6560233918825786,0.3603717786227292,0.642129789437349,0.8120043839855586,0.3596953719976567,0.646755921730175,0.7916030534351145
11,0.7589008305086736,0.683362573085472,0.8522886193147183,0.6287719297130206,0.30080270384452895,0.8900586813945461,0.6000257881503449,0.28412419449326304,0.8973566769653278,0.5793893129770993
12,0.7556919408123384,0.6847076023391813,0.7466018899421245,0.683625730882611,0.14251513871285734,0.8515705902657922,0.8187093030752369,0.127709431751611,0.8516992790937178,0.8005089058524173
13,0.7545681781796684,0.6849122807156964,0.7597060901658577,0.6823391812447219,0.22081396986339952,0.8331032102174664,0.7988524273096512,0.19917984768599883,0.8396841743906626,0.7755725190839695
14,0.7513776028923125,0.6886842105402582,0.766093640801502,0.6732163742550632,0.03281227996056894,0.7601829478771143,0.9086454774031333,0.026362038664323375,0.7521455544112599,0.8956743002544529
15,0.7489977934207137,0.6862573099554626,0.7565184378902817,0.6798830409217297,0.1092803830446416,0.8727131515360718,0.8117465024821094,0.08728763913298183,0.8722966014418125,0.7946564885496183
16,0.7500540959765335,0.6848830409217298,0.7467038527845643,0.6860818714007998,0.15434445852696804,0.8634794615119089,0.8141319063890142,0.13649677797305212,0.8595949193271541,0.7961832061068702
17,0.7468485950029383,0.6878362573238835,1.1199615646105763,0.5799999999651438,0.009576116039994366,0.3841042457714878,0.9796918316033782,0.009373169302870533,0.37349811191211807,0.9809160305343512
18,0.7456632635746788,0.6907309941659895,0.8803634295268363,0.5918128653994775,0.5030277425714688,0.8135139799792889,0.4966153052672297,0.4915055653192736,0.8029522828698936,0.47888040712468194
19,0.7459453006515718,0.6903216374268997,0.7382495090696548,0.6902923976329338,0.15899169131108296,0.7979806696582672,0.8721552446650764,0.13708260105448156,0.787847579814624,0.8582697201017812
20,0.7453204665825384,0.688421052617636,0.7397945132171894,0.6870175438178215,0.21630756231516687,0.8047980669658267,0.8414673457546258,0.17926186291739896,0.7967730861654652,0.8262086513994911
21,0.7423634338657751,0.6902046783486296,0.7524122605686301,0.6822222222640502,0.06703281227996057,0.7594062823610632,0.9076139513893366,0.056824838898652606,0.759354617233093,0.8966921119592876
